l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i
0.69099,148.37,385.83,555.27,822.64,984.3,1219,1368.6,1550.1,1672.9,1826,1985,2178.4,2293,2408,2475.3,2592.3,2984.1,3176.2,3272,3432.4,3596.9,3825,3947.9,4058.7,4157.1,4240.2,4348.5,4421.3,4537.7,4736.3,4857.5,4966.9,5064.5,5149.7,5256.9,5328.1,5448.2,6044.7,6183
47.325,207.44,440.24,603.46,869.27,1048,1259.4,1415.8,1604.5,1742.9,1925.4,2059.7,2248.5,2362.3,2455.8,2518.3,2661.1,3029.8,3208.3,3332.2,3529.9,3670,3895,4016.7,4116.9,4213.5,4291.3,4404.3,4471.4,4610.1,4807.9,4927,5024.4,5116.3,5200.9,5314.9,5381.6,5521.7,6075.7,6229.7
