l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1979.2,2112.3,2343.2,2480.8,2662.8,2790,3025.8,3124.5,3272.5,3372.2,3443.2,3557.7,3745.6,3863.6,3972.6,4044.6,4158.9,4372.4,4491.8,4601.1,4699.9,4783.6,4888,4959.1,5078.4,5277.8,5397.4,5507.9,5607.2,5690.9,5795.5,5870.3,5989.8
2014.4,2150.8,2381.8,2527.1,2697.7,2836,3061.4,3187.2,3327.5,3429.6,3498.2,3633.7,3820.8,3935.9,4032.6,4098.6,4233.7,4444.9,4563.6,4661,4753.4,4832.9,4944.6,5011,5154.1,5351.2,5471.2,5570.2,5662.2,5745,5854.3,5921.6,6063.7
