l,l,l,l,l,l,i,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1661.3,1824.2,1992.4,2155.4,2362.2,2655.5,2819.3,3375.1,3536,3780.5,3926.4,4614.6,4759.9,4985.2,5108.2,5597.6,5725.1,5859.1,5973.6,6110.8,6296.8,6483.7,6600.7,6709.5,6782.1,6898,7445.9,7614.9,7713.5,7865.9,8036.5,8230,8346.8,8455.1,8528.6,8643.1,8857.7,8978,9088.8,9186.7,9268.5,9371.6,9443.8,9560.6,10051,10254,10352,10506,10678,10834,10954,11062,11136,11253,11567,11713,11810,11968,12143,12326,12444,12554,12627,12743,12935,13054,13164,13238,13353,14154,14290,14474,14622,14860,14962,15111,15282,15426,15550,15660,15759,15843,15947,16019,16137
1717.1,1859.9,2028,2193.6,2402.8,2691.6,2868.3,3408.8,3581.2,3813.3,3973,4646.1,4807.3,5020.9,5156.5,5635.7,5771.2,5894.8,6037.3,6240.2,6375.1,6556.6,6671.7,6767.8,6836.5,6974.1,7491.6,7652.6,7774.6,7978.1,8116.2,8302.8,8419.5,8518.6,8582.9,8719.2,8930.5,9051.8,9149.1,9239,9321.9,9429.6,9494.6,9638.6,10097,10291,10412,10618,10757,10906,11024,11122,11188,11328,11614,11749,11871,12079,12224,12398,12516,12614,12682,12824,13013,13126,13225,13293,13430,14189,14336,14508,14668,14896,15022,15226,15357,15500,15624,15721,15813,15895,16004,16073,16213
