l,l,l,l,l,l,l,i,l,i,l,i,l,i,f,a,b,r,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,l,i,w,r,n,n,a,d,f,a,b,r,i,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1128.9,1295,1491.9,1658.6,1846.8,1989.1,2163.9,2309.1,2554.8,2691.4,2915.5,3059.5,3188.3,3308.2,3444.8,3546.6,3617.9,3731.9,4247.3,4372.8,4629.7,4793.5,5133.8,5316.8,5451.9,5546.3,5696.4,5857,6026.8,6140.3,6247.6,6344.6,6426.7,6529.1,6601.3,6718.1,7079.4,7259.6,7354.8,7514.1,7685.4,7850.6,7966.2,8075.2,8171.9,8254.2,8358.3,8429,8545.8,8859.5,8931.8,9018.8,9111.8,9270.1,9429,9573.6,9690.3,9800.5,9896.8,9980.5,10083,10155,10274,10630,10821,10926,10997,11113,11439,11607,11702,11853,12019,12197,12315,12424,12498,12616,12984,13165,13258,13398,13579,13767,13886,13996,14094,14179,14284,14357,14477
1178.6,1349.1,1561.2,1708.4,1879,2026.6,2195.8,2356.3,2588.2,2739,2958.4,3108.9,3223.3,3362.3,3502.9,3607.8,3669.2,3813.2,4283.9,4422.7,4665.8,4844.9,5178.2,5364.9,5489,5605.9,5801,5933.4,6099.2,6210.5,6308.6,6399.3,6482,6588.2,6652.9,6794.6,7124.5,7296.6,7415.4,7624.2,7764.4,7922.4,8039.3,8136.9,8225.8,8309.8,8417.4,8483.7,8624.7,8906,8974.8,9054.6,9171.1,9372.3,9501.8,9645.1,9763.2,9860.5,9949.5,10032,10140,10207,10346,10677,10869,10984,11045,11187,11485,11642,11765,11961,12095,12268,12387,12484,12552,12698,13031,13203,13320,13521,13658,13840,13958,14059,14150,14233,14343,14410,14555
