l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,f,a,b,r,n
500.03,629.08,1998.8,2146.2,2351.2,2457.2,2607.2,2710.7,2782.1,2900,3108.4,3230.3,3341.7,3440.3,3524.6,3629,3702.4,3822.7,4628.4,4803.8,4942.8,5231.5,5380.8,5670.9,5808.1,5998,6103.7,6254.2,6356.7,6428,6546.3,6749.2
576.28,717.06,2032.3,2195.5,2388.3,2517.5,2661.6,2769.4,2838.6,2982.8,3179.3,3303.2,3406.1,3496.8,3580.8,3689,3755.7,3903.6,4675.6,4843.4,4993.4,5272.3,5431.6,5706.8,5859.1,6038,6164.9,6312,6415.6,6485,6625.8,6818.6
