l,i,l,i,w,r,n,n,a,b,r,i,l,w,r,n,n,a,b,r,i,w,r,n,n,a,b,r,i,i,w,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,d,f,a,b,r,l,i
1281.5,1411.5,1541.9,1652.6,1814.9,1981.5,2148,2263.4,2372,2446.3,2557.7,3008.7,3161.1,3411,3572,3726.2,3843.2,3948.6,4025.8,4141.7,4603.5,5026.9,5197.9,5361.7,5479.2,5590.2,5668.7,5781.5,6103.2,6436.8,6592.4,6762.2,6940.5,7056.3,7166,7262.4,7345.9,7448.5,7519.7,7638.2,8120.2,8226.9,8379.6,8545.5,8730.3,8846.7,8957.3,9051.5,9137.2,9241.3,9316.2,9433,9953.3,10090
1329.1,1457,1588.2,1721.2,1917.8,2050.1,2219.5,2332.8,2428.3,2491.9,2631,3051.7,3194.9,3505.2,3639.6,3799.1,3912,4006.4,4072.5,4211.2,4647.9,5139.5,5269.8,5432.7,5549.7,5647.3,5713.4,5855.9,6147.4,6494.7,6696.8,6832.2,7013.3,7127.6,7225.2,7315.2,7397.3,7505,7572,7710.4,8151.4,8283.1,8484.7,8617,8801.6,8917.1,9016.2,9104.2,9186.8,9297.7,9357.8,9502.2,9984.9,10136
