l,l,l,l,l,i,l,i,l,i,l,i,w,r,l,l,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,l
1991.9,2159.6,2344.7,2508.4,2831.5,2965.4,3225.9,3353.9,3541,3678.2,3838.7,3955.7,4088.3,4266.6,5080.6,5236.9,5431.3,5575.8,5772.7,5908.5,6218,6336.2,6505.5,6606.9,6756,6921.8,7119.3,7237.6,7347,7444.4,7526.8,7630.7,7702.8,7822.5,8239.8
2026.7,2192.9,2377.8,2544.8,2866.1,3013.7,3264.9,3402,3580.9,3726.8,3876.9,4013.5,4206.5,4342.1,5118.8,5289.6,5466,5622.6,5827.7,5955.8,6250.2,6384.1,6540.2,6668.2,6861.7,6995,7191.7,7307.3,7402.6,7498.3,7577.2,7689.1,7754.8,7892.4,8277.3
