l,l,l,i,l,i,l,i,l,i,l,i,i,l,i,l,i,w,r,n,n,a,b,r,l,i,l,i,w,r,n,n,a,b,r
103.03,283.62,565.45,699.53,893.8,1047.1,1279.6,1395.4,1610.7,1739.7,1971.9,2105.4,2436.4,2606.7,2762.2,2935,3036.3,3182.6,3357.8,3539,3658.6,3766,3840.2,3956.9,4622.8,4741.3,4970.2,5082.9,5233.2,5399.2,5590.1,5707.2,5816.9,5892.7,6007.1
165.96,362.97,625.65,767.94,951.26,1091.7,1317.9,1439.6,1649,1785.9,2012.9,2151,2477.5,2669.6,2807.8,2984.3,3101.9,3298.7,3428.8,3609.5,3727.2,3824.6,3890,4029,4653.6,4788.2,5004.9,5138.4,5339.1,5473.1,5661.7,5777.3,5874,5939.2,6079.7
