l,l,l,i,l,i,l,i,l,i,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
514.46,699.09,896.79,1048.6,1228.7,1384.1,1645.1,1795.4,1973.5,2115.8,2409.8,2616.9,2749.9,2956.8,3076.8,3271.5,3389.4,3620.3,3749.4,3906.1,4001.8,4150,4310.5,4481.4,4597.8,4701.5,4775.5,4884.5,5217.7,5440,5564.5,5709.6,5805.7,5958.1,6055.4,6124.9,6240.1,6421.1,6536.6,6643.4,6718,6832,7198.8,7332.2,7455.6,7617.4,7779.2,7969.5,8084.7,8190.4,8261.8,8378.3,8580.1,8697.6,8803.6,8875.4,8989.9,9228.5,9342.1,9449.9,9545.5,9627.2,9728.3,9799.5,9916.7,10457,10694,10793,10940,11115,11320,11441,11547,11623,11736,12570,12751,12890,13163,13298,13465,13594,13763,13890,14012,14175,14372,14486,14593,14689,14772,14877,14952,15065
548.77,748.11,940.91,1090,1260.2,1430.9,1692.5,1840.7,2025.8,2159.8,2449.9,2674.1,2796.1,3002.5,3120.6,3304.4,3437.8,3652.6,3797.6,3940.6,4057.1,4256.4,4381.8,4550.8,4664.8,4758.7,4821.3,4956.9,5260.5,5470.6,5610.8,5742.7,5865,6006.3,6110,6177.4,6313.6,6489.7,6607.6,6700.2,6765.4,6904.9,7243.9,7367.9,7510.4,7726.1,7855.7,8040.6,8152,8248.4,8312.9,8451.3,8650.6,8765.7,8861.2,8925.5,9063.3,9302,9409.5,9509.3,9599.5,9678.1,9786,9852.1,9991.3,10503,10725,10873,11056,11190,11392,11511,11605,11670,11810,12615,12787,12938,13196,13345,13497,13642,13797,13923,14115,14249,14441,14558,14653,14743,14823,14934,14999,15138
