l,l,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,n,n,a,b,r,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r
1781.4,1975.8,2279.3,2439.6,2657.2,2840.8,3496.8,3651.9,3864.1,4012.4,4296.7,4442,4622.2,4724.3,4869.8,5048.7,5250.1,5370.1,5479,5552.3,5668.8,5874.8,5998.5,6107.2,6178.2,6297.8,6697.3,6907.8,7018.3,7158.4,7349.1,7570.3,7690.5,7800.9,7875.3,7994.2,8199.8,8322.8,8434.3,8507.4,8626.2,9230.1,9402.5,9504.2,9642.2,9834.4,10001,10123,10237,10309,10427,10636,10758,10869,10943,11061,11344,11470,11582,11657,11774,12516,12654,12842,12964,13216,13335,13526,13623,13761,13948,14115,14239,14351,14425,14545,14982,15225,15339,15480,15667,15833,15955,16069,16151,16267,16820,16939,17145,17257,17398,17588,17770,17890,18004,18081,18200,18682,18821,18923,19081,19255,19444,19575,19688,19766,19887
1844.1,2006.1,2317,2483.3,2688.1,2885.3,3532.7,3700.3,3901.5,4059.5,4332.8,4489.8,4661.5,4783.1,4994.3,5127.8,5321.3,5441,5539.1,5604.6,5751.5,5948.2,6068.2,6168.2,6234,6379.6,6743.3,6945.6,7079.3,7288.8,7426.7,7640,7762.9,7861.5,7930.8,8079,8271.8,8394.4,8493.9,8563.2,8705.6,9276.5,9438.2,9569.7,9770.8,9916.7,10076,10194,10299,10366,10505,10711,10831,10930,10999,11146,11418,11546,11648,11714,11853,12551,12702,12879,13016,13255,13387,13564,13686,13887,14027,14190,14312,14411,14482,14627,15029,15262,15405,15610,15745,15909,16030,16132,16206,16348,16857,16988,17184,17319,17530,17665,17845,17964,18066,18138,18278,18728,18862,18983,19195,19335,19519,19650,19750,19819,19966
