l,l,l,i,l,i,l,i,i,i,l,i,i,i,w,r,n,n,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,i,l,w,r,n,n,a,d,f,a,b,r
1979.1,2798.8,3244.8,3405.9,4011.8,4162.6,4688.4,4837.1,5526.6,6115,6511.7,6655.7,7030.9,7265.1,7712.3,7874.7,8040.6,8156.2,8262.5,8336.4,8451.9,8623.7,8738.2,8845.3,8919.3,9035.4,9323.4,9504.8,9597.6,9742.5,9918.1,10085,10204,10313,10385,10504,10780,10959,11063,11199,11380,11557,11673,11783,11862,11979,12269,12428,12525,12677,12854,13030,13150,13261,13341,13458,13647,13765,13875,13951,14067,14369,14596,14850,15028,15216,15333,15444,15542,15625,15731,15803,15922
2016.8,2838.3,3284.4,3454.9,4049.8,4212.1,4725.3,4888.9,5574.9,6161.1,6550.4,6704.9,7082.3,7314.8,7820,7946.4,8111.6,8222.3,8321,8392.6,8527.6,8693.9,8805.9,8902.8,8971.8,9110.6,9370.3,9537.6,9627.6,9860.5,9990.5,10157,10273,10371,10441,10583,10828,10998,11124,11324,11459,11631,11746,11843,11909,12054,12314,12462,12555,12796,12933,13103,13222,13319,13392,13535,13719,13839,13933,14001,14143,14415,14630,14965,15104,15285,15409,15505,15598,15679,15790,15862,15999
