l,l,l,l,i,l,i,l,i,l,i,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i
1043.3,1188.4,1349.7,1507,1678.1,1976.2,2127.6,2368.6,2491.6,2738.6,2886.5,3260.3,3434.2,3540.2,3676.9,3856.1,4058.6,4175.8,4283.1,4355.6,4469.8,4712.8,4830.6,4937.1,5034.2,5115.1,5218.5,5289.3,5406.2,5948.8,6058.4,6325.5,6424.6,6560.3,6743.9,6936.2,7054.1,7161.7,7258.6,7340.1,7444.6,7515.6,7631,8147.3,8303.8,8400.2,8539.8,8721.6,8908.4,9024.7,9133.5,9206.6,9321.1,9653.7,9827.4,9923.4,10074,10239,10408,10525,10635,10730,10814,10917,10989,11108,11513,11646,11740,11880,12062,12233,12349,12459,12557,12640,12743,12815,12932,13431,13544,13735,13857
1085,1222.5,1380.5,1540.3,1723.7,2008.2,2174.1,2401.4,2556.4,2773.1,2931.2,3306,3471.6,3606.6,3803.4,3934.9,4128.9,4247.8,4342.5,4409.3,4547.7,4785.4,4900.7,4997.7,5088.7,5172.2,5281.2,5345.8,5483.3,5984.8,6108.8,6362.3,6487.3,6683.8,6817.3,7015.4,7126.7,7221.5,7313.7,7393.1,7501.2,7570.5,7709.4,8193.6,8340.8,8475.4,8665.5,8795.5,8979.4,9098.8,9191.2,9259.7,9395,9698.9,9864.6,9983.5,10179,10311,10483,10598,10693,10783,10866,10973,11039,11182,11562,11683,11800,12008,12145,12305,12424,12521,12612,12694,12802,12868,13010,13461,13593,13770,13907
