l,l,i,l,i,f,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,i,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,w,r,n,n,a,d,f,a,b,r
1831.2,1983.6,2166.5,2398.4,2549.4,2787.3,2900.1,2960.9,3078,3428.9,3634.8,3760.6,3958.8,4080.8,4232.5,4347.2,4499.9,4662.7,4865,4975.8,5084.6,5156.8,5272.8,5466.7,5582.3,5691.4,5768.2,5882.7,6281.2,6460.7,6561.8,6636.1,6751.3,7235.1,7401.4,7504.9,7655.6,7820.8,7994.3,8117.3,8225.2,8297.3,8413.6,8641.8,8760.3,8869.3,8967,9050.2,9153.8,9226.7,9345.8,9862.4,9990.5,10167,10276,10425,10605,10780,10900,11011,11109,11192,11296,11371,11493,11978,12105,12299,12559,12728,12915,13038,13150,13247,13331,13436,13509,13630
1863.8,2019.2,2209.4,2433,2595.4,2837.4,2945.2,3012.2,3148.5,3474,3672.5,3809.6,3996.1,4127.8,4270,4400.1,4602.6,4734.4,4932.6,5045.5,5141.7,5211.2,5348.3,5535.9,5651.4,5750.4,5817.6,5958.1,6325.6,6512.2,6617.8,6688.4,6826.2,7281.6,7437.8,7563,7764.4,7895.1,8066.9,8187.4,8284,8349,8488.2,8711.8,8831.7,8930.4,9019.7,9101.9,9213,9277.7,9425,9898.2,10037,10201,10307,10545,10678,10853,10970,11069,11163,11244,11353,11417,11566,12008,12151,12335,12663,12802,12987,13110,13210,13301,13387,13495,13562,13709
