l,l,l,l,l,l,i,l,i,l,i,l,i,l,i,l,i,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1461.6,1637.8,1813.4,1985.8,2236.7,2548.6,2693.2,2855.5,3002.6,3203.4,3351.3,3680.6,3805.5,4006.6,4127.4,4407.2,4533.5,4868.3,5017.4,5179.9,5367.8,5482.3,5590.3,5686.6,5769.2,5873.1,5943.3,6057.6,6362.2,6641.1,6805.2,6905.1,7056,7220,7404.9,7521.5,7627.9,7698.8,7812.5,8192.6,8370.3,8467.9,8608.8,8791.9,8973.1,9089.8,9199.4,9273.4,9385.2,9568.5,9685.8,9793.6,9866.8,9981.6,10332,10491,10587,10740,10908,11083,11198,11309,11407,11490,11593,11663,11782,11963,12077,12187,12284,12368,12471,12544,12662,13306,13428,13666,13768,13905,14083,14246,14362,14473,14571,14654,14759,14831,14948
1517.4,1693.5,1847.4,2017.3,2270.3,2579.5,2738.5,2913.5,3045.9,3234.6,3395.7,3710.7,3852.2,4040.6,4177.1,4439.6,4579.9,4923.4,5124.5,5251.2,5440,5550.9,5646.3,5740.1,5821,5929.6,5997.5,6134.7,6417,6687.5,6841.7,6963.5,7163.2,7295.1,7474.8,7592.7,7686.5,7754.1,7889.9,8235.7,8404.3,8527.2,8732.2,8871.9,9043.2,9161.9,9256.2,9325.6,9458.7,9638.5,9756.8,9853.7,9916.7,10056,10376,10527,10645,10850,10986,11153,11273,11370,11460,11540,11649,11720,11857,12035,12170,12246,12336,12418,12528,12592,12734,13337,13475,13702,13826,14025,14161,14319,14432,14532,14626,14707,14816,14883,15026
