l,l,i,l,i,l,i,l,i,l,i,l,i,i,l,i,l,i,l,i,l,w,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r
1948.2,2183.2,2362.2,2656.1,2804.7,3019.8,3167.7,3397.5,3549.3,3786.8,3924.7,4151.4,4284.2,4728.6,4917.7,5047.3,5217.3,5348,5474.7,5608.5,5820.1,6068.6,6232.1,6432.8,6553.4,6658.3,6729.4,6845.1,7215.7,7413.8,7546,7718.2,7832.9,7988.8,8158.1,8344.7,8457.7,8568.5,8640.2,8755.4,8938.6,9056.6,9166.7,9239.3,9355.3,10387,10525,10730,10846,11001,11166,11367,11484,11588,11661,11777,12154,12321,12422,12579,12741,12922,13039,13147,13225,13342
2056.3,2215.3,2406.5,2690.9,2849.8,3054.7,3214.7,3431.7,3597.9,3818.9,3973.4,4184.6,4331.5,4773.3,4954,5098.1,5249,5399.1,5513.4,5655.8,5854.9,6176.1,6302.9,6502.3,6623,6717.6,6782.9,6919.1,7262.2,7449.8,7593.6,7757.8,7891.2,8099.7,8230.6,8414.3,8527,8626.7,8690.5,8831.2,9013,9128.3,9225.5,9292.8,9431.9,10418,10573,10769,10906,11110,11240,11435,11553,11649,11714,11860,12200,12358,12481,12682,12813,12995,13109,13205,13274,13416
