l,i,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,i,l,i,w,r,n,n,a,b,r
962.9,1123.6,1707.6,1867,1988.5,2137.8,2308,2504.6,2622.8,2735.2,2833,2917.3,3022.4,3096.2,3215,3701.7,3894.7,3994.4,4142.2,4316.2,4659.2,4872.7,4973.4,5114.1,5305.1,5487.7,5610.5,5721.4,5798.6,5913.9
1015.2,1170.3,1752,1950.7,2047.8,2249.8,2381.1,2574.8,2696.3,2795.3,2888.6,2971.4,3079.5,3148,3288.8,3748.3,3932.1,4025.1,4255.6,4394.5,4705.7,4903.4,5031.5,5239,5380.8,5560.4,5681.3,5779.8,5851,5987.2
