l,l,l,l,l,l,i,l,l,i,l,i,l,i,i,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i
1416.8,1765.7,1984.9,2150.1,2458.1,2704.5,2902.5,3337.9,3527.3,3691.7,3873.5,4041.5,4478.5,4632.7,5034.7,5466.6,5676.1,5806.2,5977.8,6087.9,6149.2,6264.8,6472.2,6589.6,6700,6770.7,6888.9,7523.5,7785.8,7921.2,8180.5,8290.3,8426.1,8605.6,8829.6,8951.1,9060.2,9132.6,9248.7,9452.4,9570.8,9683.3,9782.3,9865.5,9972.5,10045,10165,10802,10929
1503.3,1800.8,2017.3,2184.5,2493.2,2741.8,2946.6,3375.6,3565.8,3738.9,3912,4091.7,4514.5,4680.9,5083.8,5514.2,5715,5856.8,6031.9,6135.2,6206.9,6342.1,6545.2,6661.8,6759.1,6827.2,6971.8,7572.6,7826,7969.6,8217.8,8356.9,8548.7,8683.8,8900.2,9021.2,9124.7,9187.1,9331.4,9525.1,9645.6,9744.1,9839.8,9921.8,10032,10101,10243,10840,10980
