l,l,l,i,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,f,a,b,r,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,i,l,i,l,i,l,i,l,i,l,i,l,i,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1947.4,2177.3,2370.4,2532.5,2801.6,2990.4,3696.5,3829.3,4049.7,4195.3,4411.3,4562.9,4797.3,4937.1,5097.2,5216.1,5349.7,5522,5724.6,5839.8,5942.8,6013,6127.3,6333.1,6448.3,6554.5,6624,6738.2,7260.6,7422.7,7541.4,7693.1,7856.4,8034.2,8148,8253.9,8326.8,8439.8,8858.7,9045.1,9145.2,9298.1,9396.4,9466.6,9580.5,9985.7,10106,10276,10430,10716,10813,10962,11129,11299,11414,11519,11592,11708,11914,12029,12135,12207,12324,12791,13052,13182,13380,13514,14050,14181,14408,14536,14723,14858,15129,15256,15800,15992,16125,16519,16658,16885,17018,17284,17425,17633,17751,17900,18068,18255,18393,18504,18601,18684,18787,18860,18987
2024.5,2212.3,2401.8,2579.8,2837.8,3037.7,3730,3875.8,4084.3,4243.4,4447.2,4609.9,4831.5,4985.6,5132.7,5283,5469.1,5595.5,5794.1,5904.1,5999.9,6065.8,6201.7,6401.2,6515.5,6612.7,6676.6,6812.8,7303.8,7458.4,7598.5,7800.9,7930,8105.1,8218.5,8317.5,8379.7,8520,8908,9085.1,9214.8,9352.7,9456,9522.5,9663.7,10018,10156,10312,10480,10752,10874,11074,11205,11370,11481,11579,11645,11782,11982,12096,12194,12261,12398,12834,13087,13232,13417,13563,14082,14226,14440,14587,14764,14909,15164,15302,15846,16027,16175,16553,16709,16920,17068,17317,17473,17669,17824,18011,18142,18327,18463,18563,18655,18735,18844,18914,19057
