l,l,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,i,l,i,w,r,n,n,a,d,f,a,b,r
2153.8,2333.8,2547,2694.1,2961.2,3117.4,3349.4,3470.5,3704.6,3806.3,3943.3,4121.8,4327.2,4444.1,4554.7,4651.1,4732.8,4836.1,4908.1,5027.6,5536.4,5719.6,5817.8,5971.1,6138.1,6654.6,6890.6,6996.7,7134.3,7317.7,7521.3,7647.9,7756.3,7851.4,7933.1,8037.5,8108.5,8225.3
2192.1,2373.7,2583.7,2742.1,2998.6,3169.4,3389.3,3521.7,3746.3,3882.7,4069.3,4202.1,4397.7,4515.4,4614.7,4706.1,4790.6,4898.3,4964.4,5107.5,5583.5,5757.6,5880.6,6080.5,6218.6,6702.8,6929.8,7057.9,7257.7,7393.1,7592.7,7713.7,7814.8,7903.9,7986.9,8094.9,8163.8,8302.5
