l,l,l,l,l,i,l,i,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r
91.723,243.78,471.86,681.59,872.96,1093,1312,1459.1,1759.5,1983.8,2113.1,2398.9,2547.4,2712.8,2842.9,3189,3282.2,3433.9,3600,3811.7,3929.2,4036.5,4120.3,4238.2
146.78,314.56,508.56,734.02,933.26,1136.8,1342.7,1503.9,1803.5,2018,2160.8,2434.7,2595.9,2748,2891.8,3222.1,3341.1,3539.6,3670.6,3880.5,4000.7,4095.4,4162.1,4306.3
