n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,a,b,l,e,n,n,f,a,b,l
9712.2,10315,11319,12031,12527,13298,13852,14287,15030,15789,16445,17033,17701,18260,19158,19719,20441,21101,21483,22176,22344,22494,22651,22812,22974,23124,23283,23437,23550,NaN,23728,23872,24074,NaN,24152,24325,NaN,24501,24653,24857,NaN,24936,25105,25259,25412,25513,NaN,25696,25845,26055,NaN,26133,26323,26481,26625,26728,NaN,26907,27055,27263,NaN,27343,27535,27692,27847,27946,NaN,28127,28276,28496,NaN,28574,28755,28927,29062,29246,NaN,29431,29582,30034,30179,30331,30435,NaN,30611,30767,30975,NaN,31055,31247,31400,31518,31706,NaN,31893,32047,32499,32652,32800,32904,NaN,33090,33250,33461,33584,33691,33902,NaN,34083
9767.1,10370,11375,12087,12576,13347,13895,14329,15079,15839,16488,17065,17783,18302,19204,19759,20485,21143,21524,22215,22396,22572,22731,22891,23055,23207,23365,23518,NaN,23671,23818,23953,NaN,24121,24211,NaN,24453,24605,24735,NaN,24904,24993,25169,25339,25487,NaN,25632,25794,25927,NaN,26103,26193,26389,26561,26701,NaN,26843,27002,27137,NaN,27310,27397,27596,27772,27921,NaN,28063,28219,28360,NaN,28537,28632,28818,29006,29138,NaN,29375,29526,29661,30093,30259,30411,NaN,30555,30712,30850,NaN,31022,31113,31315,31482,31601,NaN,31835,31986,32129,32563,32734,32876,NaN,33024,33182,33335,33540,33658,33751,NaN,34037,34184
