n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f
1994,2145.1,2325.9,2472.1,2628.8,2782,2942.6,3095.7,3234.2,3339.1,NaN,3518.5,3664.8,3869.5,NaN,3947.2,4122.5,NaN,4307.5,4451.6,4654.8,NaN,4730.7,4904.9,5062.1,5216.2,5318.8,NaN,5501.3,5647.7,5850.1,NaN,5928.3,6103,NaN,6288.2,6436.3,6644.1,NaN,6718.7,6883.4,7050.8,7170.4,7352,NaN,7537.4,7683.3,7889.3,NaN,7966.5,8137.8,8302.2,8430.8,8613.2,NaN,8801.2,8947.4,9155.4,NaN,9236.1,9408.3,NaN,9599,9755.7,10021,10128,10236,10431,NaN,10617,10771,11653,11790,11946,12083,12259,NaN,12447,12592,12801,NaN,12880,13062,NaN,13249,13404,13613,NaN,13693,13893,14051,14170
2029.6,2192.6,2379.2,2551.3,2709.9,2866.9,3022.3,3179.5,3312.8,NaN,3456.1,3602.9,3749.5,NaN,3920,4011.4,NaN,4251.8,4394.8,4535.5,NaN,4702.6,4790.9,4971.6,5145,5294.6,NaN,5438.9,5583,5731.3,NaN,5897.9,5988.2,NaN,6230.1,6383.2,6518.5,NaN,6692.2,6779.2,6952.8,7130.6,7249.6,NaN,7481.7,7635.8,7764.1,NaN,7933.9,8014.9,8201,8382.9,8516.4,NaN,8741.4,8896.7,9030,NaN,9202.6,9288.6,NaN,9532.9,9677.4,9835.6,10095,10202,10297,NaN,10557,10701,10851,11713,11872,12027,12152,NaN,12386,12545,12670,NaN,12850,12933,NaN,13188,13336,13488,NaN,13662,13747,13957,14134,14241
