n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
2831.4,2969.5,3127.3,3287.4,3437.8,3596.8,3749.8,3900.2,4005,NaN,4188.1,4343.9,4546.7,NaN,4623.1,4799.7,NaN,4983.8,5134.7,5336.2,NaN,5413.8,5582.9,NaN,5769.6,5916.8,6120.1,NaN,6199.7,6376.6,NaN,6552.1,6708.6,6912.5,NaN,6990.4,7168.1,7323.4,7457.6,7634.2,NaN,7821.8,7968.9,8178.1,NaN,8256.6,8448.7,8604,8729.8,8920.4,NaN,9109.2,9263.3,9473.4,NaN,9555.2,9742.6,9922.2,10042,10236,NaN,10426,10578
2863.2,3022.3,3211.3,3368.5,3517.9,3679.1,3834.3,3981.8,NaN,4124.9,4276.9,4417.3,NaN,4589.6,4679.4,NaN,4925.4,5082.7,5215,NaN,5384,5465.1,NaN,5703.8,5860.4,5996.5,NaN,6166.6,6251.6,NaN,6496.5,6650,6786,NaN,6955.7,7042.7,7234,7404.5,7525.3,NaN,7759,7910.7,8051.8,NaN,8226.3,8308.2,8512.3,8685.5,8783.7,NaN,9046.1,9204.7,9344.6,NaN,9522.8,9612.4,9808.8,10002,10119,NaN,10367,10517,10660
