n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,f,a,b,l,e,n,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,n,n,f,a,b,l
3661.8,4155.7,4522.5,4693.1,5080.6,5237.8,5421.6,5623.2,6365.5,6527.7,6710.2,6883.7,7060.7,7249.4,7423.8,7586,7751.5,7906.4,8070.6,8234.7,8402.7,8577.1,8710.4,8890.3,NaN,9075.9,9228.1,9438,NaN,9518.3,9694.3,NaN,9886.9,10037,10235,NaN,10325,10499,10668,10791,10979,NaN,11172,11326,11535,NaN,11615,11805,11965,12096,12280,NaN,12474,12621,12835,NaN,12916,13105,13286,13404,13594,NaN,13789,13940,14199,14318,14428,14633,NaN,14816,14976,15187,NaN,15267,15459,NaN,15645,15807,16282,16428,16596,16729,16918,NaN,17102,17263,17473,17557,17761,17955,18075,18290,NaN,18485,18637,18848,NaN,18933,19147,19340,19473,19662,NaN,19857,20019,20381,20548,20687,20910,NaN,21105,21511,21671,21792,22050,NaN,22238
3702.9,4213,4588.7,4765.2,5142.8,5338.2,5490.6,5688.1,6429.9,6602.2,6778.5,6955.9,7136.3,7297.8,7502.3,7669.5,7831,7991,8156.5,8320.7,8486.1,8660.8,8786.1,NaN,9017.3,9176.2,9309.5,NaN,9488.2,9572.6,NaN,9820.8,9982,10122,NaN,10291,10380,10566,10752,10863,NaN,11106,11269,11406,NaN,11582,11670,11872,12046,12169,NaN,12412,12569,12708,NaN,12879,12971,13174,13368,13476,NaN,13724,13883,14028,14271,14392,14497,NaN,14758,14920,15062,NaN,15235,15325,NaN,15589,15748,15897,16347,16509,16680,16802,NaN,17049,17209,17347,17519,17623,17826,18038,18149,NaN,18420,18581,18721,NaN,18899,18991,19211,19418,19544,NaN,19791,19952,20107,20447,20629,20758,NaN,21041,21199,21577,21751,21864,NaN,22176,22333
