n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e
2929.5,3070.2,3263.7,3434.6,3579.9,3740.8,3902.7,4058.6,4181.7,NaN,4363.2,4507,4708.9,NaN,4786.1,4959.9,NaN,5146.3,5297,5501.4,NaN,5577.1,5759,NaN,5946.1,6089.2,6299.7,NaN,6376.9,6559.8,6714.2,6856.4,6955.9,NaN,7139.2,7282.2,7491.9,NaN,7569.9,7748.2,NaN,7928.2,8083,8296.1,NaN,8375.8,8558.3,NaN,8748.5,8895.8,9084.2,9205.8,9308.8,9490.6,NaN,9669.8,9820.8,10037,10178,10291,10641,10798,10931,11115,NaN,11305,11458,11691,11816,11921,12123,NaN,12312,12463,12839,12997,13125,13312,NaN,13502,13662
2986.4,3148.4,3340.2,3494.5,3660,3822.5,3984.2,4144.4,NaN,4300.4,4453.8,4590,NaN,4759.2,4838.4,NaN,5090.1,5246.6,5381.4,NaN,5548.2,5634.6,NaN,5884.1,6041.9,6173.6,NaN,6342.3,6445,6627.8,6796.7,6932.7,NaN,7073.2,7236.4,7363.8,NaN,7536.8,7626,NaN,7873.6,8029,8168.1,NaN,8346.4,8431.7,NaN,8686.1,8847.3,8976.6,9158.2,9275.8,9367.4,NaN,9620,9775.5,9907.4,10119,10255,10419,10708,10878,11000,NaN,11244,11402,11543,11772,11891,11985,NaN,12254,12413,12554,12906,13079,13196,NaN,13442,13603,13747
