n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,a,b,l,e,n,n,f,a,b,l,e
1993.9,2149.8,2321.7,2513.4,2672.6,2835.8,2996.3,3158.7,3324.6,3466.6,3575.7,NaN,3744.4,3895.7,4105.9,NaN,4183,4363.5,NaN,4543,4703.2,4898.9,5015.7,5114.3,5298.9,NaN,5477.9,8085.4,8259.6,8415.3,8569.2,8724.2,8875.6,9015.8,9120.2,NaN,9291.6,9447.1,9652.6,NaN,9730,9894.2,NaN,10070,10223,10426,NaN,10502,10677,NaN,10856,11009,11213,NaN,11286,11455,NaN,11635,11792,11998,NaN,12077,12247,12404,12519,12705,NaN,12888,13041,13357,13517,13677,13788,NaN,13961,14126,14350,14476,14586,14780,NaN,14960,15129
2031,2210.2,2407.6,2596.7,2759.3,2918.2,3075,3237.9,3405.1,3549.5,NaN,3694.6,3854.7,3987.2,NaN,4153.7,4237.9,NaN,4496.6,4655.8,4789.8,4972,5085.9,5178.9,NaN,5427.4,5583.2,8164,8317.2,8499.4,8655.6,8807,8958,9094.3,NaN,9235.3,9402.8,9530.2,NaN,9702,9789.3,NaN,10021,10182,10303,NaN,10475,10558,NaN,10805,10966,11088,NaN,11259,11348,NaN,11588,11749,11875,NaN,12045,12130,12314,12483,12598,NaN,12836,12996,13126,13425,13599,13760,NaN,13910,14068,14209,14425,14553,14647,NaN,14912,15072,15214
