n,n,n,n,n,a,b,l,e,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f
1994.7,2141.4,2308.5,2472.9,2629.9,2732.8,NaN,2912.7,3075.7,3386.2,3540.2,3652.1,NaN,3845,3984.8,4212.5,NaN,4291.2,4473.1,4626.2,4753.9,4945.9,NaN,5136.5,5302.3,5548,5674,5774.7
2049.5,2217.7,2389.3,2556,2706.8,NaN,2852.8,3008.1,3157.4,3449.6,3625,NaN,3771,3915.1,4067.7,NaN,4258.4,4351.4,4539.2,4708.2,4822.4,NaN,5072.3,5223.3,5384.8,5623.1,5744.5,5835.2
