n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e
2628.9,2777.2,2926,3084.3,3246.1,3402.5,3561.4,3720.3,3895.8,4082.7,4245.5,4347.6,NaN,4528.5,4677.5,4884.4,NaN,4963.3,5164.8,NaN,5347.6,5503.6,5711.5,NaN,5790.8,5975.7,NaN,6150.9,6298.8,6504.3,NaN,6583.5,6765.4,NaN,6943.2,7094.6,7299.1,NaN,7376.2,7556.6,7718.4,7832.7,8015.7,NaN,8203.9,8353,8622.3,8778.2,8931.6,9030.7,NaN,9217.8,9362.3,9573.8,NaN,9650.9,9844.7,10008,10123,10318,NaN,10500,10666
2663.7,2832.6,3001.4,3163.8,3329.3,3489.4,3648.4,3805.1,3978.6,4160.4,4324.8,NaN,4464.2,4625.2,4792.2,NaN,4929.4,5017.5,NaN,5296.2,5448,5588.6,NaN,5757.9,5845.2,NaN,6102.8,6253.9,6382.9,NaN,6551.3,6638.2,NaN,6895.9,7049.4,7177.5,NaN,7346.8,7434.1,7616.4,7795.1,7918.7,NaN,8142.7,8301.7,8437.3,8685.7,8861.2,9010.3,NaN,9147.1,9308,9447.1,NaN,9624.3,9710.1,9909.8,10087,10197,NaN,10446,10606,10770
