n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e
1296.3,1967.8,2110.1,2268,2427.5,2589.9,2762.7,2929.2,3095.5,3258,3422.6,3585,3738.2,3896.2,4034.4,4188.8,4293.8,NaN,4475.9,4627.8,4837.4,NaN,4915.6,5100.2,NaN,5287.6,5431.6,5637.5,NaN,5716.4,5895.4,NaN,6083.3,6226.8,6432,NaN,6511.5,6694.3,6853.2,6990.3,7130.6,7307.2,NaN,7496.1,7644.1,7848.1,NaN,7927.2,8098.4,8254.8,8391.4,8576.5,NaN,8763.9,8911.2,9122.8,NaN,9204.2,9391.8,9550.8,9705.6,9827.9,10016,NaN,10200,10351,10563,NaN,10644,10828,10993,11108,11297,NaN,11487,11633,11851,NaN,11932,12117,12302,12469,12595,12793,NaN,12980,13140
1354.9,2015.3,2178,2338.8,2498.5,2661.1,2828.6,3014.6,3148.5,3335.4,3506.5,3664.3,3824.3,3980.3,4117.8,4269.3,NaN,4415.8,4576.4,4713.4,NaN,4883.8,4973.2,NaN,5228.5,5383.3,5515.8,NaN,5684.6,5770.1,NaN,6024,6181.5,6312,NaN,6478.2,6566.3,6759.1,6929.3,7071.2,7207,NaN,7434.1,7589.6,7727.3,NaN,7897.4,7978.3,8165.9,8337,8468.8,NaN,8702.3,8857.4,8993.9,NaN,9169.8,9262.7,9461.2,9630.8,9784.9,9903.9,NaN,10141,10292,10434,NaN,10610,10701,10901,11073,11189,NaN,11423,11584,11721,NaN,11900,11988,12184,12378,12552,12674,NaN,12920,13076,13227
