n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e
1823.8,1990.7,2141,2294.1,2448,2612,2772.8,2877.2,NaN,3057.1,3198.1,3396.8,NaN,3475.6,3659.5,NaN,3838.2,3990.9,4128.5,NaN,4261,4446.5,NaN,4626.4,4775.8,4976.9,NaN,5056.2,5227.2,NaN,5409.2,5562.3,5775.1,5887,5989.2,6208.3,NaN,6387.8,6538.6,6748.6,NaN,6829.8,7007.9,NaN,7196.1,7353.3,7582,NaN,7659.1,7847.2,8014.5,8297.2,NaN,8471.2,8622.6,8831,NaN,8908.5,9095.8,9264.5,9424.6,9552.2,9744.8,NaN,9934.9,10106
1875.8,2044.9,2221.2,2379.3,2532.6,2694.9,2852.5,NaN,2997.3,3144.2,3277.5,NaN,3443,3525.2,NaN,3772.7,3912,4065.7,NaN,4239.5,4324,NaN,4563.6,4711.9,4851.9,NaN,5022.1,5110.5,NaN,5352.1,5503.9,5644.6,5846.2,5955.1,6043.1,NaN,6328.5,6471.6,6619.9,NaN,6794.8,6886.4,NaN,7131.2,7292,7439.4,NaN,7629.6,7719.7,7914.2,8094.3,NaN,8411.6,8571.1,8707.9,NaN,8875.6,8965.2,9159.4,9346.2,9506.2,9623.1,NaN,9873.9,10034,10165
