n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g
2746.1,2902.8,3086.7,3254.1,3429.6,3620.5,3773.2,3917.8,4080.8,4238.2,4346.9,NaN,4526.9,4677.7,4886.8,NaN,4965,5140.9,NaN,5323.7,5481.3,5690.6,NaN,5770.8,5952.5,6107.5,6266.4,6372.5,NaN,6553.9,6710.6,6918.2,NaN,6997.6,7185,NaN,7368.6,7525.6,7748.9,NaN,7825,8010.2,8166.4,8287.8,8469.4,NaN,8652.2,8810,8960.7,NaN
2815,2969.8,3162,3334.3,3504.8,3678.6,3864.7,4009.3,4164.3,4318.4,NaN,4464,4632,4763.5,NaN,4933,5030.6,NaN,5271.2,5438,5565.9,NaN,5737.3,5826.8,6019,6191.3,6348.8,NaN,6495.6,6666.1,6791.3,NaN,6965.2,7058.4,NaN,7318.1,7478,7610,NaN,7796,7891.7,8076.7,8247.8,8366.2,NaN,8607.7,8766.6,8895.9,NaN,9068.8
