n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,f,a,b,l,e,n,n,f,a,b,l
1832.8,1980.7,2152.2,2318.8,2488.8,2671.9,2815.1,2982.6,3144,3314.6,3470.7,3572.3,NaN,3755.1,3909,4112.5,NaN,4193.1,4379,NaN,4566.9,4716.7,4925.5,NaN,5006.4,5173.1,5331.3,5474.5,5653.1,NaN,5843.1,5989.8,6200.3,NaN,6280.1,6454.3,NaN,6637.3,6790,6995.8,7079.3,7262.5,NaN,7452.2,7601.2,7773,7902.2,8009.9,8189.9,NaN,8383.5
1874.7,2049.7,2232.2,2389.2,2560.3,2723.8,2900,3059.2,3223.2,3393.7,3545.7,NaN,3694.5,3842.7,3990.4,NaN,4160.4,4251.3,NaN,4507.2,4659.6,4800.7,NaN,4973.4,5055.6,5235.2,5413.1,5555.8,NaN,5783,5932.8,6074.4,NaN,6246.9,6342.1,NaN,6585.3,6735,6868.4,7044.2,7142.7,NaN,7387.6,7553.1,7688.2,7846.3,7976.3,8070.5,NaN,8320,8479.7
