n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,n,n,n,f,a,b,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e
3147.2,3304.6,3467.8,3624.7,3782.3,3946.3,4102.3,4238.8,4398.2,4521.8,NaN,4699,4846.8,5052.8,NaN,5129.1,5307.4,NaN,5485,5636.7,5848,NaN,5926.9,6104.2,NaN,6283.1,6439.1,6645.4,NaN,6722.9,6900.9,7065.2,7221.7,7328.2,NaN,7504.7,7665.7,7822.7,NaN,8412.3,8579.2,8729.6,8860.2,9044.2,NaN,9592.4,9751.7,9907.5,10012,NaN,10183,10337,10547,NaN,10625,10807,NaN,10989,11144,11353,NaN,11434,11617,11774,11932,12058,12252,NaN,12434,12595,12803,NaN,12881,13074,NaN,13258,13412,13624,NaN,13705,13872,14044,14252,14367,14568,NaN,14752,14918
3179.2,3379.6,3545.7,3702.8,3866.4,4026.2,4181,4318.9,4483.7,NaN,4647.7,4800.7,4930.8,NaN,5098.8,5185.7,NaN,5433.5,5594.4,5728.7,NaN,5894.7,5982.7,NaN,6234.9,6392,6521.3,NaN,6693.2,6778.7,6969.2,7145.1,7299,NaN,7448.7,7622.9,7784.8,NaN,7971.8,8475.7,8667,8813.4,8942.8,NaN,9177.4,9657.4,9837.3,9983.4,NaN,10128,10292,10420,NaN,10593,10686,NaN,10942,11103,11229,NaN,11400,11491,11682,11855,12012,12137,NaN,12380,12542,12679,NaN,12848,12943,NaN,13205,13368,13496,NaN,13670,13762,13951,14123,14333,14431,NaN,14707,14862,15001
