n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,l,n,n,n,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e
9404.9,9546.6,9716.4,9851.5,9972,10169,10318,10474,10623,10722,NaN,10902,11043,11247,NaN,11321,11505,NaN,11682,11825,12031,NaN,12110,12295,NaN,12465,12630,12836,NaN,12912,13093,13260,13420,13537,13723,NaN,13902,14052,14227,14330,14486,14635,14733,NaN,14916,15061,15245,15308,15386,15573,NaN,15760,15916,16391,16552,16689,16866,NaN,17055,17209
9436,9602,9764.8,9933.9,10091,10253,10402,10556,10700,NaN,10835,10989,11126,NaN,11295,11378,NaN,11625,11775,11905,NaN,12076,12166,NaN,12437,12569,12707,NaN,12878,12966,13159,13339,13499,13607,NaN,13837,13996,14135,14288,14393,14568,14705,NaN,14854,15012,15185,15261,15355,15436,NaN,15697,15855,15993,16450,16630,16766,NaN,16989,17140,17293
