n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,n,n,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,n,f,a,b,l,e
1986.4,2131.4,2252.5,2434.8,2589,2744.1,2894.1,3050.5,3198.5,3303.1,NaN,3485.9,3627.8,3827.1,NaN,3903.5,4066.9,NaN,4251,4395.2,4597.3,NaN,4673.7,4848,NaN,5023.6,5166.3,5368.3,NaN,5445.8,5616.1,NaN,5801.5,5943,6147.9,NaN,6224.9,6408.6,6563.6,6713.6,6856.8,6967.8,NaN,7142.4,7297.5,7480.7,7579.6,7760.4,7913.2,8027.7,8206.1,NaN,8394.2,8539.8,8824.8,NaN,8901.9,9081.3,9241.4,9386.4,9489.1,NaN,9669.7,9821.7,10231,10379,10503,10696,NaN,10883,11032,11244,11326,11500,NaN,11688,11844
2017.9,2189.4,2381.6,2513.7,2668.2,2824.5,2978.4,3134.8,3281.5,NaN,3421.8,3567.4,3703,NaN,3872.8,3957.5,NaN,4194,4344.6,4478.9,NaN,4641.5,4730.9,NaN,4962.9,5110.5,5245.3,NaN,5414.1,5505,NaN,5736.7,5887.4,6024.6,NaN,6194.9,6285.5,6473.4,6644,6797.1,6940.8,NaN,7085.3,7236.1,7378.8,7547.2,7633.9,7824.1,7993.2,8084.1,NaN,8329.9,8480.8,8626.8,NaN,8873.2,8962.7,9145.6,9320.3,9466.4,NaN,9605.5,9758.8,9903.9,10286,10459,10584,NaN,10826,10978,11119,11289,11394,NaN,11628,11784,11926
