n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
3102.3,3253.5,3435.2,3612.1,3764,3918.2,4080.3,4189.2,NaN,4372.4,4526.3,4731.8,NaN,4810.2,4985.4,NaN,5174.1,5319.6,5529.3,NaN,5609.3,5778.2,NaN,5968.2,6120.5,6328.7,6410.3,6593.8,6750,6872.7,7060,NaN,7253.1,7401.7,7613.6,NaN,7694.6,7877.5,8047.8,8175.7,8366.9,NaN,8557.5,8709.3,9280.9,9433.3,9591.5,9707.9,9889,NaN,10081,10234,10452,NaN,10531,10726,10903,11030,11233,NaN,11419,11584
3157.3,3318.2,3505.6,3659.5,3843.7,3998.1,4158.4,NaN,4308.3,4452.8,4607.5,NaN,4778.5,4871.5,NaN,5112.1,5258.5,5403.6,NaN,5578.6,5660.4,NaN,5901.7,6059.5,6203.6,6373.8,6482.7,6659.4,6831.5,6956.1,NaN,7189.2,7344.4,7484.1,NaN,7660.6,7745.2,7945.4,8129.4,8244.1,NaN,8493,8649.9,8791.1,9344,9516.6,9669.6,9783.8,NaN,10018,10170,10319,NaN,10501,10593,10795,10986,11100,NaN,11365,11526,11667
