n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
4285.7,4493.8,4656.7,4811.7,4969.2,5132.2,5289.7,5389.5,NaN,5571.4,5717.8,5920.4,NaN,5999.5,6179.6,NaN,6369.1,6513.6,6717.4,NaN,6793.6,6965.1,NaN,7152,7305.1,7512.3,NaN,7589.4,7764.8,NaN,7952.3,8106.1,8325.9,NaN,8404.8,8582,8742.5,8865,9055.1,NaN,9247.3,9402.9
4372.7,4572.7,4737.9,4892.1,5049.9,5214.6,5362.6,NaN,5509.9,5638.4,5797.6,NaN,5968.3,6056.6,NaN,6299.9,6451.6,6594,NaN,6764.8,6845.5,NaN,7090,7236.7,7387.2,NaN,7560.4,7641.9,NaN,7887.5,8036.6,8189.3,NaN,8372.6,8456.5,8645.1,8823,8940.2,NaN,9183,9334.4,9483.5
