n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,f,n,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l
2982.7,3127.6,3294.3,3561.8,3706.3,3863.2,4016.1,4171.8,4332.8,4482.9,4645.4,4747.1,NaN,4917.3,5067.3,5272.8,NaN,5350.1,5516.8,NaN,5698.1,5851.7,6060.4,NaN,6137.3,6309,NaN,6487.9,6642.7,6855.2,NaN,6930.2,7106.5,NaN,7287.3,7431.4,7640.2,NaN,7720.6,7899.7,8058.9,8223.6,8382.8,8550.9,8676.6,8853.2,NaN,9038.2,9185.8,9397.2,NaN,9473.9,9644.1,9804.8,9963.6,10116,10229,NaN,10404,10555,10762,NaN,10844,11020,NaN,11202,11355,11567,NaN,11645,11830,NaN,12014,12170,12383,12463,12653,12816,12973,13098,13291,NaN,13477,13633,13970,14130,14259,14443,NaN,14629,14790,15183,15350,15524,15681,15872,16047,16156,NaN,16333,16493,16704,NaN,16779,16968,17144,17261,17461,NaN,17643
3030.7,3208.9,3362.7,3615.4,3791.2,3940.7,4099.5,4253.2,4414.5,4569.3,4718.8,NaN,4862.1,5022.8,5150.1,NaN,5319,5408.7,NaN,5647.9,5806.5,5937,NaN,6107.5,6196.9,NaN,6439.9,6602.8,6724.5,NaN,6900.1,6983.3,NaN,7237.3,7393.6,7513.9,NaN,7687.1,7770.7,7966.9,8136.7,8302.5,8468.4,8631.6,8754.7,NaN,8984.5,9145.6,9268.3,NaN,9441.9,9522.1,9711.8,9882.5,10045,10198,NaN,10346,10510,10636,NaN,10809,10901,NaN,11151,11308,11439,NaN,11614,11699,NaN,11960,12121,12255,12427,12532,12718,12895,13055,13176,NaN,13423,13581,13717,14037,14210,14339,NaN,14575,14739,14875,15251,15436,15603,15770,15953,16128,NaN,16277,16442,16577,NaN,16750,16844,17033,17222,17336,NaN,17592,17752
