n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,a,b,l
3161.7,3337.6,3497.3,3651.2,3810.1,3981.3,4145.3,4294.5,4465.2,4630.5,4730.9,NaN,4912,5060.8,5265.6,NaN,5343,5522,NaN,5724,5870.8,6074.1,NaN,6151.1,6329.1,NaN,6515.3,6675.2,6918.6,NaN,6993.4,7181.4,NaN,7368.2,7524.6,7890.6,8040.3,8196.9,8309.2,NaN,8479.2
3232.3,3389.6,3574.2,3731.2,3893.2,4070.1,4225.7,4380,4551.2,4701.4,NaN,4849.1,5000.2,5144.7,NaN,5314.9,5394.8,NaN,5648.5,5814.9,5948.2,NaN,6124.9,6202.6,NaN,6454.7,6605.7,6754.8,NaN,6962.8,7049.2,NaN,7302.3,7468.1,7606.5,7952.1,8119.9,8273.3,NaN,8430.3,8563.6
