n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,f,a,b,l,e,n,f,a,b,l,e,d,g,f,n,n,f
4606.9,4758.2,4916.6,5067.4,5219.8,5374,5528.5,5675.1,5784,NaN,5963.1,6108,6318.3,NaN,6391.5,6548.6,NaN,6735.2,6888.4,7087,NaN,7164.9,7357.3,NaN,7543.1,7695.8,7901.1,7985.1,8179.3,NaN,8365.7,8509.4,8739.8,8959.7,9163.9,NaN,9350.5,9499.1,9704.8,NaN,9783.2,9983,10143,10268
4664.1,4838.3,4995.3,5152.9,5302.7,5455.6,5611.5,5752.7,NaN,5902.3,6050.1,6190.5,NaN,6365.2,6444.4,NaN,6670.6,6823.8,6967,NaN,7132.7,7220,NaN,7484.5,7636.8,7781.4,7946.9,8049.6,NaN,8306,8461.7,8592.9,8922.8,9026.1,NaN,9287.1,9439.6,9579.2,NaN,9753.1,9833.7,10048,10223,10336
