n,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1982.9,2155.5,2333.6,2521.7,2791.8,2968.4,3193,3344.8,3514.5,3700.2,3864.2,4029.3,4191.3,4300.2,NaN,4483.1,4636.3,4847.5,NaN,4928.2,5123.7,5276.4,5435.1,5538.1,NaN,5713.4,5871.3,6082.5,NaN,6163.8,6336.4,6491.9,6644.7,6754.3,NaN,6931.4,7087.8,7297.5,NaN,7376.2,7540.4,7718.4,7857.1,8039.8,NaN,8225.2,8387.5,8602.1,NaN,8687.3,8852,9014.7,9133.7,9322.9,NaN,9507.5,9673.1,9906.5,NaN,9986.3,10176,NaN,10361,10523,10763,NaN,10840,11038,NaN,11221,11398,11616,NaN,11697,12039,12202,12365,12515,12706,NaN,12891,13056,13277,13411,13520,13721,NaN,13908,14079,14294,NaN,14376,14568,14752,14865,15072,NaN,15259,15445
2041.9,2223.3,2429.7,2595.8,2872.2,3046.4,3243.3,3431.6,3600.9,3789.2,3950.8,4116.2,4268.6,NaN,4422.6,4587.2,4721.6,NaN,4892.6,4989.2,5191.8,5359,5511.1,NaN,5661.5,5820.8,5955.1,NaN,6129.1,6221.6,6405.3,6569.4,6727.7,NaN,6879.1,7042.8,7171.2,NaN,7345.7,7440.5,7610.5,7805.3,7940,NaN,8177,8341.2,8472.6,NaN,8648.6,8739.3,8919.9,9097.8,9218.8,NaN,9455.8,9616.1,9757.9,NaN,9954.5,10046,NaN,10308,10470,10609,NaN,10810,10913,NaN,11174,11333,11482,NaN,11663,11755,12113,12284,12451,12596,NaN,12843,13002,13141,13357,13489,13581,NaN,13858,14026,14166,NaN,14345,14435,14636,14830,14949,NaN,15208,15372,15529
