n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
2296.7,2448.9,2633.9,2785,2944,3102.8,3259.2,3395.3,3573.8,3733.1,3850.8,NaN,4031.8,4179.4,4387.3,NaN,4466.3,4637.1,NaN,4820.5,4966.6,5172.6,NaN,5253.2,5439.6,NaN,5624.2,5777.3,5981.3,NaN,6057.2,6244.1,6394,6516.8,6693.5,NaN,6880.2,7031.2,7228.2,7346.5,7451.6,7636.8,NaN,7824.3,7968.9,8179.1,NaN,8256.6,8427.4,8585,8715.7,8906.8,NaN,9089.8,9247.7,9456.8,NaN,9534,9725,NaN,9905.4,10056,10275,NaN,10355,10576,10758,10895,11089,NaN,11274,11442
2393,2526.4,2676.1,2864.3,3029.5,3188.7,3346.4,3487,3661.8,3819.9,NaN,3965.1,4128,4258.7,NaN,4430.2,4522.8,NaN,4766.7,4914.5,5048.1,NaN,5220.9,5319.2,NaN,5566.4,5720.1,5859.2,NaN,6028.8,6114.3,6310.5,6471.1,6585.7,NaN,6820.2,6972.4,7118.4,7306.6,7422.6,7511.6,NaN,7764.3,7915.2,8053.8,NaN,8226.2,8310,8495.8,8662.8,8787.8,NaN,9034.8,9189.3,9328.3,NaN,9510.4,9587.4,NaN,9844.7,10001,10143,NaN,10325,10413,10641,10839,10971,NaN,11216,11359,11523
