n,n,n,n,n,n,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,n,n
2600.4,2767.5,2927.7,3089.6,3243.2,3400.7,3555,3710.6,3864.2,3988.3,4169.3,NaN,4347.2,4494.6,4699.2,NaN,4776.2,4950.8,NaN,5136.7,5278.2,5479.7,NaN,5558.7,5729.1,NaN,5914.9,6068.4,6272.1,6384.2,6464.1,6682.6,NaN,6870.1,7211.2,7358.1
2660.4,2847.3,3006.4,3168.2,3325,3483.3,3637.8,3791.4,3944.2,4064,NaN,4288,4440.9,4574.8,NaN,4747.1,4830.4,NaN,5075.2,5224.5,5363.2,NaN,5529,5611.8,NaN,5851.9,6001.8,6150.8,6346.8,6452.4,6546.5,NaN,6805.8,6955.1,7266.3,7435.4
