n,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f
2807.7,2976.3,3100.6,3281.7,3440.7,3606.4,3772.2,3925.3,4126.9,4278.3,4442.5,4602.9,4758,4869.3,NaN,5042.2,5198.6,5407.2,NaN,5485.1,5658.7,NaN,5838.5,5988.5,6197.8,NaN,6275.5,6446.2,6606.2,6757.4,6887.2,7067.2,NaN,7249.5,7403,7602,NaN,7687.5,7863.5,8014.1,8170.3,8274.3,NaN,8450.2,8602.9,8809.3,NaN,8888.2,9079.2,9241.6,9367,9554.8,NaN,9741.2,9890.8,10106,NaN,10186
2849.7,3028,3218.4,3360.8,3518.1,3682.6,3846.8,4018.6,4179.3,4359.9,4528.3,4687,4842,NaN,4989.2,5153.4,5286.6,NaN,5454.3,5536.6,NaN,5789.4,5947.8,6069,NaN,6243.3,6328.1,6514.8,6687.7,6842.8,6963.5,NaN,7204.5,7355.1,7484.1,NaN,7655.3,7742.6,7933.9,8094.6,8248.6,NaN,8390.7,8561.6,8682.9,NaN,8856.7,8945.5,9147,9322.8,9446.1,NaN,9684.4,9845.3,9976.4,NaN,10153,10239
