n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1991.3,2126.7,2292.4,2471.2,2641.9,2806.7,2949.5,3113.4,3271.3,3425,3529,NaN,3704.1,3858.1,4064.2,NaN,4142.4,4326.8,4483,4635.2,4776,4952.4,NaN,5142.2,5286.1,5492.2,NaN,5570.8,5749.5,NaN,5934.4,6085.7,6297.1,NaN,6374.8,6564.8,6720.1,6859.7,6965,NaN,7150.2,7298.8,7511.3,NaN,7589.7,7773.8,7926.6,8043.6,8224,NaN,8414.2,8561.1,8767,NaN,8845.3,9026.7,9188.9,9320.9,9506.5,NaN,9695,9852.5,10066,NaN,10147,10342,10520,10636,10826,NaN,11014,11160
2040.9,2204.8,2370.8,2540.8,2714.1,2861.7,3031.4,3192.5,3357.4,3503.5,NaN,3645.9,3794.2,3938.5,NaN,4114.1,4203.3,4394.3,4566.1,4720.3,4845.2,NaN,5085.6,5236.3,5372.5,NaN,5541.3,5625.1,NaN,5872.9,6028.9,6170.6,NaN,6347.7,6428.3,6633.1,6799.8,6939.3,NaN,7082,7240,7383.8,NaN,7561.2,7644.4,7845.7,8003.9,8113.7,NaN,8349.6,8513.8,8644.2,NaN,8813,8898.6,9093.5,9271.9,9391.1,NaN,9631,9793.4,9938.8,NaN,10117,10202,10411,10600,10714,NaN,10952,11111,11246
