n,n,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1993.2,2130,2285.4,2451.8,2625.2,2792.3,2957,3121.2,3290.7,3437.3,3598.5,3756.9,3919.2,4081,4188.7,NaN,4373.3,4521.9,4726.5,NaN,4807.2,4985.8,NaN,5175.3,5323.5,5533.2,NaN,5614.5,5792,5953.1,6113.2,6213.8,NaN,6398.8,6547.4,6760,NaN,6838,7017.8,7176.5,7335.1,7428.9,NaN,7621,7771.4,7982.6,NaN,8062.4,8265.1,8422.8,8591.2,8695.4,NaN,8880.1,9032.5,9299.2,9454.2,9570.1,9755.1,NaN,9943.4,10094,10309,NaN,10390,10568,10734,10857,11049,NaN,11239,11395
2042.5,2184.3,2358.9,2532.9,2696.2,2863.4,3029.6,3199.9,3343.6,3519.8,3679.7,3839.4,4004.5,4160.1,NaN,4308.1,4468.8,4604.6,NaN,4776.6,4866.6,NaN,5114.8,5276.7,5406.8,NaN,5580.4,5675.8,5860,6035.2,6186.8,NaN,6332.7,6500.5,6632.4,NaN,6806.2,6896.2,7087.1,7257,7408.7,NaN,7554.4,7719.9,7865.2,NaN,8029.5,8121,8322.6,8509.1,8670.5,NaN,8817.2,8978.1,9116,9372.8,9535.6,9633.8,NaN,9882.8,10040,10183,NaN,10358,10445,10641,10817,10930,NaN,11178,11335,11481
