n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,f
1988.7,2364.8,2498.1,2654.3,2830.5,3008.6,3162.7,3321.1,3488.5,3601,NaN,3785.6,3937.8,4148.9,NaN,4227.7,4403.9,NaN,4586.8,4737.5,4945.1,NaN,5027.6,5215.2,NaN,5403.4,5560.6,5770.6,NaN,5849.7,6028.8,6194.8,6320.3,6506.4,NaN,6693.1,6852.1,7060.8,7144.8
2032.3,2411.8,2571.7,2729.4,2904.3,3060.6,3241.3,3402.5,3570.8,NaN,3721.2,3881.5,4020.2,NaN,4194,4286.1,NaN,4532.5,4689.1,4818.5,NaN,4993.4,5087.1,NaN,5343.1,5495.2,5644.3,NaN,5819.1,5906.4,6097.5,6272.9,6395.5,NaN,6635.3,6799.2,6938.4,7106.7,7212.4
