n,n,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e
1997.2,2239.9,2481.6,2794.6,3316.8,3466.5,4055.2,4197.6,4364.6,4532.7,4694.2,4877.3,5042.8,5204.6,5316.8,NaN,5499.6,5648.2,5862.6,NaN,5941.2,6117,NaN,6309.3,6458.5,6670.5,NaN,6751.7,6944.6,NaN,7128.4,7287.8,7498.7,NaN,7576.1,7758.2,NaN,7948.3,8098.3,8323.2,NaN,8401.1,8576.5,8742.5,8868.7,9054.6,NaN,9238.7,9394.2,9609.1,NaN,9687.1,9879.5,10061,10181,10379,NaN,10564,10721,10957,11084,11185,11387,NaN,11572,11732,11972,NaN,12057,12273,12459,12615,12718,NaN,12903,13079
2051.2,2306.5,2567.3,2849.5,3375.3,3545.9,4103.1,4281.2,4451.4,4620.3,4779.2,4962.8,5120.6,5289.7,NaN,5435.7,5596.8,5734.9,NaN,5913.3,5997.9,NaN,6248.9,6406.4,6548.1,NaN,6715.9,6812.1,NaN,7080,7237.9,7377.9,NaN,7548.9,7644.2,NaN,7892.7,8052.9,8186.2,NaN,8372.6,8462.4,8649.7,8822,8945.1,NaN,9188.4,9351,9483.6,NaN,9658.1,9752.7,9951.8,10139,10263,NaN,10516,10671,10809,11030,11157,11253,NaN,11524,11678,11821,NaN,12020,12118,12340,12540,12694,NaN,12846,13018,13170
