n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,n,f,a,b,l,e,d,g,f,a,b,l
1983.3,2224.1,2497.3,2669.1,2827,3003.9,3171.8,3337.3,3526,3702.3,3860.7,4026.6,4186.2,4350.8,4513.4,4617.6,NaN,4794.1,4951.3,5162,NaN,5242.7,5421.6,NaN,5602.8,5765.7,5979.8,NaN,6059.3,6248.7,6398.8,6554.6,6667.8,NaN,6844.7,7004,7216.1,7295,7473.9,7635.5,7756.3,7945.6,NaN,8128.2,8283.1,8493.1,NaN,8573.9,8759.8,NaN,8939.5,9097,9292.2,NaN,9385.5,9560.3,9737,9861.6,10053,NaN,10236,10403,10794,10939,11098,11246,11379,11575,NaN,11756,11917,12175,NaN,12261,12464,NaN,12648
2027.7,2285.9,2561.4,2734.8,2897.5,3077,3252.9,3417,3603,3761.3,3943.1,4112,4270,4437.2,4593.6,NaN,4739.7,4899.9,5034.9,NaN,5210.5,5305.8,NaN,5555.2,5714,5854,NaN,6026.8,6117.2,6318.5,6483,6634.8,NaN,6789.6,6960,7087.2,7259.6,7369.1,7545.3,7714.1,7832.6,NaN,8072.8,8231.1,8360.1,NaN,8537.6,8628,NaN,8894.1,9048.4,9184.6,NaN,9352.5,9447.9,9630.6,9817.4,9945.6,NaN,10190,10349,10487,10857,11025,11187,11328,11460,NaN,11709,11866,12007,NaN,12231,12323,NaN,12602,12758
