n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,a,b,l,e
1977.8,2135.3,2297.2,2480.8,2585.5,2777.2,2940.3,3103.1,3269.8,3430.8,3592,3697.2,NaN,3883.9,4033.4,4223.1,NaN,4316.1,4506.4,NaN,4690.6,4837.5,5045.9,NaN,5125.1,5304.2,5490.4,5615.7,5803.6,NaN,5995.4,6144.7,6458.6,6625.4,6785.9,6890,NaN,7069.2,7236.5
2025.7,2199.1,2366.2,2528.8,2667.4,2863.5,3024.3,3186.1,3352.3,3517.2,3668.9,NaN,3820,3972.1,4131.6,NaN,4284.7,4372.9,NaN,4633.3,4781.5,4922.4,NaN,5096.2,5180,5369,5570.2,5691.6,NaN,5926.5,6088,6227.3,6518.5,6708,6861.2,NaN,7012.7,7161.6,7320.8
