n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e
1828.3,1982.1,2129.6,2293,2451,2607.5,2756.2,2914.2,3074.7,3211.5,NaN,3387.7,3531.7,3734.4,NaN,3809.8,4001.9,NaN,4178.2,4326.3,4529.4,NaN,4601.2,4804.6,4954.6,5060,NaN,5241.1,5391.3,5593.4,NaN,5673.3,5847.3,NaN,6032.3,6176.4,6379.2,NaN,6454.3,6626.3,6784,6919.9,7028.5,7211.5,NaN,7387.7,7537.1
1861.4,2028,2208.5,2373.7,2534.3,2685.9,2838.8,2998.2,3158.5,NaN,3340.3,3469.6,3611,NaN,3781.3,3864.3,NaN,4124.6,4271.4,4408.1,NaN,4583.1,4668.8,4867.9,5032.3,NaN,5174.9,5329.9,5465.8,NaN,5638.4,5718.8,NaN,5969.7,6127.3,6257.1,NaN,6424.3,6510.6,6690.6,6860.7,6993.3,7088.1,NaN,7322,7472.1,7616.8
