n,l,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,f,a,b,l,e
1987.4,2152,2328,2513.5,2723,2908.2,3092.9,3380,3524.7,3701.6,3857.9,4034.4,4194.9,4350.7,4456.1,NaN,4640.5,4787.6,4994.8,NaN,5076.8,5254.4,NaN,5445,5597,5805.1,NaN,5884.5,6066.3,6232.8,6385,6487.6,NaN,6671.5,6818.7,7030,NaN,7109.8,7287.6,7454,7614.9,7746.1,7923.3,NaN,8113.7,8260.7,8471.1,NaN,8552.4,8743.1,8897.7,9037.9,9220.5,NaN,9409.5,9565.3,9778.4,NaN,9858.9,10048,10216,10336,10522,NaN,10710,10857,11006,11151,11338,11506,11624,11828,NaN,12019,12169,12392,NaN,12474,12685,NaN,12875,13039,13470,13623,13791,13931,14131,NaN,14324,14478
2038.7,2216,2395.7,2579.4,2791.9,2974.6,3164.7,3429,3602.2,3786,3939.9,4115.3,4276.1,4424.4,NaN,4577.2,4741.3,4874.5,NaN,5042.5,5133.5,NaN,5381,5543.2,5683.3,NaN,5854.1,5941.9,6127.4,6312.2,6462.5,NaN,6608.7,6760.3,6906.7,NaN,7077,7168.5,7351.2,7532.2,7696.3,7821.8,NaN,8050.6,8213.1,8347.7,NaN,8518.7,8610,8810.8,8979.8,9113.2,NaN,9351.2,9513,9651.1,NaN,9826.2,9916.7,10119,10298,10415,NaN,10649,10808,10938,11114,11208,11402,11587,11686,NaN,11962,12123,12257,NaN,12442,12530,NaN,12811,12970,13124,13535,13703,13874,14010,NaN,14259,14423,14566
