n,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,n,n,n,f
2883.8,3085.4,3235.1,3396.7,3547.8,3705.2,3867.6,4008.2,4162.3,4322.8,4479.6,4637,4801.5,4903.6,NaN,5078.4,5227.5,5434.8,NaN,5511.4,5704.2,NaN,5886.5,6030.4,6238.4,NaN,6313.9,6491.1,NaN,6670.7,6828.9,7039,NaN,7118.1,7287.1,7442,7600.8,7725.2,7902.8,NaN,8086,8239.4,8447.1,NaN,8528.3,8701.2,8861.5,9013.8,9144.6,9323.9,NaN,9507.3,9657,9870.9,NaN,9952.8,10121,10294,10455,10582,10778,NaN,10959,11113,11323,NaN,11400,11574,11740,11899,12023
2933.7,3147.4,3301.8,3467.7,3624.2,3784.7,3921.7,4090.9,4244.8,4406,4568.6,4726.2,4877,NaN,5026.9,5189,5310.5,NaN,5481.7,5572.4,NaN,5836.4,5988.2,6117.4,NaN,6284.8,6370.2,NaN,6624.3,6781,6913.7,NaN,7086.6,7169.4,7357.2,7527,7678.4,7802.1,NaN,8027.2,8186.7,8324.7,NaN,8494.3,8574.9,8768.2,8942.7,9099.2,9221.5,NaN,9452.1,9613.2,9744,NaN,9921,10010,10188,10377,10539,10659,NaN,10909,11067,11198,NaN,11373,11465,11645,11829,11990,12107
