n,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,f,a,b
3188.3,3338.3,3782,3934,4117.8,4303.8,4488.2,4635.8,4801.3,4970,5139.6,5304.6,5467.4,5573.7,NaN,5755.9,5900.3,6111.6,NaN,6190.9,6372.7,NaN,6555.1,6714.2,6919.1,NaN,6997.9,7186.1,7343.3,7485.9,7600.2,NaN,7782.2,7933,8138.7,NaN,8220.3,8404.7,8559.4,8681.7,8858.8,NaN,9038.2,9194.2,9390.6,NaN,9480.3,9681.3,9853.9,9981.3,10165,NaN,10347,10500,10742,NaN,10821,10995,11156,11304,11424,11609,NaN
3241.5,3410.9,3845.9,4012.5,4192,4377.8,4544,4719.7,4883.6,5058.1,5227.2,5391.7,5551.8,NaN,5694.6,5856.8,5984.4,NaN,6163.1,6245.8,NaN,6501.2,6653.9,6799.2,NaN,6966.6,7057.2,7252.5,7423.7,7570.5,NaN,7719.4,7878.6,8016.4,NaN,8192.5,8269.9,8475.6,8638.3,8764,NaN,8990.3,9145.3,9279.1,NaN,9451.8,9534.6,9751.8,9937.3,10058,NaN,10298,10457,10587,NaN,10791,10875,11063,11233,11384,11499,NaN,11736
