n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1988.1,2116.8,2304.8,2474.2,2652.8,2759.4,2965.5,3127.7,3286.4,3447.6,3609.6,3748.3,3845.2,NaN,4020.5,4179.6,4384.7,NaN,4462.2,4640.4,NaN,4829.3,4979.9,5186.5,NaN,5266.2,5445.5,NaN,5624.3,5782.6,5987.8,NaN,6063.9,6245,NaN,6421.9,6580.1,6790.9,NaN,6871,7050.2,7215.3,7341,7519.9,NaN,7709.6,7854.4,8063.7,NaN,8138.4,8317.2,8486.2,8611.4,8804.9,NaN,8986.2,9150.1,9358,NaN,9436.3,9612.1,9793.6,9929.7,10118,NaN,10302,10466
2030.6,2198.3,2376.7,2554.2,2707.6,2883.4,3050.6,3209.2,3369.5,3534.3,3697,3820.2,NaN,3961.9,4124.1,4264.7,NaN,4435.3,4519.8,NaN,4767.7,4932,5062.2,NaN,5233.6,5322.2,NaN,5568,5726.8,5863.3,NaN,6033.8,6116.4,NaN,6371.8,6529.7,6663.6,NaN,6841.2,6922.2,7114.1,7297,7414.9,NaN,7643.6,7808.5,7937.6,NaN,8111.7,8196.4,8383.1,8569,8685.4,NaN,8929.2,9090.9,9233.6,NaN,9407.8,9492.6,9679.5,9874.3,10009,NaN,10253,10416,10550
