n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,n,n,n,n,f,a,b,l,e,d,g,f,n,n,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,n,n,n,n,f,a,b,l,n,n,f,a,b,l,e,n,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,n,n,n,f,n,n,n
1976.9,2157.7,2579.1,2736.7,2911.6,3091.2,3269.3,3519.2,3687.3,3862.9,4027.8,4220.6,4380.7,4557.6,4718.9,4878.4,5049,5214.8,5327.4,5544.6,NaN,5734.2,5885.8,6097.1,NaN,6176.8,6362.4,NaN,6545.9,6703.5,6916.8,NaN,6992.8,7182.8,7357.4,7476,7673,NaN,7855.5,8010.4,8221.4,NaN,8300.9,8509.2,8682.2,8807.4,8993.9,NaN,9177.2,9337.9,9485.8,9632.9,9832.8,10003,10122,10314,NaN,10500,10655,10937,11055,11166,11330,NaN,11544,11701,11907,NaN,11998,12181,12353,12466,12662,NaN,12848,13011,13358,13505,13633,13820,NaN,14005,14161,14534,14682,14901,15075,15198,15390,NaN,15584,15736,15983,NaN,16062,16245,16425,16549,16697,NaN,16934,17096,17314,NaN,17397,17611,17739,17981,18114,18310,NaN,18498,18666,19197,19377,19524,19688,19833,20025,NaN,20213,20387,20582,NaN,20691,21035,21199,21346,21655,21783,21988,22095,NaN,22274,22435,22650,NaN,22729,22915,23125,23247,23444,NaN,23629,23816,24100,NaN,24179,24403,24580,24703,24897,NaN,25084,25269,25649,25874,26050,26211,26409,26738,26931,27058,27241,NaN,27430,27924,28104,28245,28434,NaN,28630,28799,29259,29379,29680,29802,30018,NaN,30203,30373,30793,31012,31148,31341,NaN,31528,31698,31945,NaN,32036,32269,32430,32554,32752,NaN,32937,33243,33416,33592,33735,34092,34224,34462
2022,2219.8,2635.2,2803.9,2986.4,3163.2,3339.8,3571.7,3768.7,3943.4,4109.6,4306.1,4477.2,4642.3,4806,4967,5143,5280.3,5423.6,NaN,5682.7,5840,5975.1,NaN,6143.9,6241.7,NaN,6495.8,6649.8,6791.8,NaN,6965,7056.6,7253.1,7438.1,7555,NaN,7803.3,7964.5,8095.9,NaN,8266.8,8363.1,8576.6,8761.3,8885.5,NaN,9126.9,9290.6,9423.6,9594.8,9707.1,9903.8,10082,10187,NaN,10446,10610,10743,11018,11128,11238,NaN,11492,11652,11789,NaN,11965,12058,12253,12434,12598,NaN,12800,12958,13096,13442,13586,13711,NaN,13953,14114,14248,14606,14858,14984,15158,15269,NaN,15519,15684,15822,NaN,16031,16120,16310,16506,16626,NaN,16883,17046,17182,NaN,17365,17458,17695,17886,18059,18204,NaN,18451,18610,18752,19263,19459,19611,19774,19910,NaN,20166,20321,20472,NaN,20662,20756,21096,21285,21425,21737,21890,22070,NaN,22223,22386,22522,NaN,22701,22796,22986,23209,23351,NaN,23575,23740,23930,NaN,24146,24240,24474,24667,24765,NaN,25037,25192,25353,25717,25943,26137,26298,26622,26819,27014,27143,NaN,27377,27523,27991,28187,28315,NaN,28570,28726,28883,29329,29541,29762,29891,NaN,30158,30314,30453,30865,31100,31281,NaN,31479,31644,31788,NaN,32009,32097,32344,32514,32642,NaN,32883,33043,33312,33501,33686,33818,34165,34356,34549
