n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,f,a,b,l,e
1985.2,2149,2315.5,2532.8,2789.8,2956.5,3138.4,3306.9,3452.2,3613.4,3782.4,3936.8,4100.7,4250.7,4408,4512.3,NaN,4697.8,4844.2,5053.9,NaN,5134.5,5314.6,NaN,5505.3,5658.5,5867.2,NaN,5948.9,6130.7,NaN,6320.3,6472.5,6684.2,NaN,6760.8,6933,7094.2,7248,7360.9,7550.6,NaN,7741.9,7893.9,8101.2,NaN,8179.2,8358.2,NaN,8549,8697.3,8909,NaN,8988.1,9160.1,9330.9,9492,9625.7,9811,NaN,10003,10154,10368,NaN,10444,10629,NaN,10822,10973,11290,11451,11575,11767,NaN,11955,12111,12325,NaN,12405,12588,12758,12883,13089,NaN,13276,13434,13648,NaN,13727,13922,NaN,14117,14292,14527,14608,14810,NaN,15003,15165
2036.5,2225.6,2396.2,2598.7,2853.5,3035.8,3212.5,3356.2,3534.9,3693.2,3863.9,4018.2,4183.1,4336.4,4490.2,NaN,4633.9,4790.8,4931.6,NaN,5103.9,5192.6,NaN,5446.4,5600.2,5746.1,NaN,5916.3,6001.1,NaN,6258.1,6420.9,6556.6,NaN,6729.8,6815.4,6997.3,7173.6,7329.7,7426.4,NaN,7678.7,7832,7977.8,NaN,8149,8242.2,NaN,8487.3,8641.7,8780.2,NaN,8953.3,9044.7,9224.6,9411.5,9576,9700.3,NaN,9936.4,10093,10238,NaN,10417,10503,NaN,10759,10919,11058,11360,11533,11646,NaN,11898,12050,12198,NaN,12372,12466,12652,12838,12956,NaN,13222,13381,13521,NaN,13700,13791,NaN,14057,14197,14370,14572,14670,NaN,14940,15099,15250
