n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1992.4,2153.5,2302.7,2470.2,2631.2,2772.9,2884.2,NaN,3070,3217.5,3432.3,NaN,3511.5,3714.3,3874.5,3999.2,4193.2,NaN,4371,4529.3
2038.6,2239.9,2386,2554.2,2712.1,2856.1,NaN,3004.9,3165.9,3303,NaN,3478.8,3568.1,3782.3,3956.8,4074.5,NaN,4314.4,4472.7,4618.2
