n,n,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,n,n,n,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
2536.2,2700.5,2811.6,3020.5,3191.8,3364,3475.1,3691.1,3881.1,4032,4197.2,4362.8,4518.8,4685.7,4788.3,NaN,4974.4,5125.4,5331.4,NaN,5412.7,5592,NaN,5781.7,5930.7,6137.8,NaN,6220.1,6419,6575.5,6691.4,6878.1,NaN,7069.7,7218.1,7429.6,NaN,7508,7842.9,7996.4,8105.9,NaN,8291.6,8442.9,8619.9,NaN,8735.5,8917,9073.1,9193.9,9386.3,NaN,9575.2,9727.1,9952.6,NaN,10030,10228,10382,10497,10692,NaN,10886,11041,11516,11669,11814,12014,NaN,12199,12863,13010,13176,13338,13491,13617,13801,NaN,13994,14149,14373,NaN,14452,14637,14811,14936,15132,NaN,15315,15479
2584.8,2764.8,2920.7,3090.9,3262.7,3436.7,3601,3762.8,3931.5,4108.4,4278.7,4444.2,4599.9,4761.4,NaN,4908.2,5051.9,5208.6,NaN,5383.7,5475.4,NaN,5720.3,5870.6,6014.5,NaN,6189,6274.7,6485.8,6654.1,6764,NaN,7006.5,7157.3,7302.8,NaN,7476.1,7569.7,7910,8075.3,NaN,8229.8,8387.8,8526.6,NaN,8706.1,8790.6,8982.2,9153.4,9264.7,NaN,9512.9,9671.3,9809.3,NaN,10001,10087,10292,10459,10569,NaN,10823,10970,11123,11580,11748,11885,NaN,12142,12270,12926,13088,13252,13419,13572,13691,NaN,13927,14084,14232,NaN,14421,14513,14701,14887,15008,NaN,15253,15408,15560
