n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,n,n,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,n,f,a,b,l,e
1810.2,1986.3,2145.8,2322.3,2491,2657.2,2830.7,3007.8,3173,3356.8,3538.5,3679.4,3839.4,4001.3,4155.4,4265.7,NaN,4448.6,4596.2,4806.5,NaN,4883.3,5073.9,5232.8,5357.5,5542.1,NaN,5725.8,5878.6,6089,NaN,6167.2,6352.7,6513,6672.5,6776.6,NaN,6960.2,7110.6,7319.2,NaN,7399.4,7574.4,7732.8,7889.3,8068.5,8247.4,8406.3,8564.7,8714.7,8887.9,NaN,9079.2,9226.5,9437.8,NaN,9514.1,9702.1,9869.2,10004,10182,NaN,10373,10535,10746,NaN,10825,11009,NaN,11199,11355,11611,NaN,11691,11889,12050,12169,12358,NaN,12552,12707,12918,NaN,13000,13192,13369,13489,13693,NaN,13884,14054,14285,NaN,14366,14669,14819,15123,15280,15421,15610,NaN,15802,15957
1854.7,2053.2,2213.4,2392.2,2557.8,2730.2,2906.1,3090.3,3249.8,3430.5,3593.1,3762.7,3924.3,4084,4237.4,NaN,4385.6,4543.8,4680.1,NaN,4854.2,4943.5,5139.8,5319.7,5437,NaN,5673.2,5829.8,5963.3,NaN,6139.7,6224.6,6419.1,6594.8,6750,NaN,6898.8,7061.2,7194.3,NaN,7365.5,7454.2,7641.7,7814.7,7972.5,8142.7,8322.5,8486.6,8652.3,8783.6,NaN,9013.3,9181.3,9313.8,NaN,9483.7,9568.8,9772,9949.2,10071,NaN,10313,10472,10617,NaN,10793,10882,NaN,11134,11283,11434,NaN,11655,11745,11956,12131,12243,NaN,12483,12646,12790,NaN,12964,13053,13260,13447,13559,NaN,13819,13980,14136,NaN,14336,14421,14740,14903,15188,15361,15489,NaN,15741,15897,16041
