n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n
2423.8,2568.8,2724.2,2885,3038.6,3194.5,3351.3,3501.8,3646,3747.7,NaN,3927.8,4077.1,4275.2,NaN,4353.7,4523.2,NaN,4706.2,4852.4,5050.8,NaN,5128.3,5297.2,NaN,5482.5,5628.6,5830.8,NaN,5907,6080.7,6236.7,6394.2,6492.2,NaN,6674.2,6819.3,7030.2,NaN,7108,7279.3,7430.6,7587.9,7716.2,7895.5,NaN,8081,8226.9,8431.7,NaN,8510.9,8692.5,8856.6,9011.1,9152.1,9332.8,NaN,9520.8,9662.9,9874,NaN,9952.2,10135,NaN,10322,10471,10682,NaN,10762,10937,11105,11218,11406,NaN,11595,11743,11948,NaN,12032,12217,12445,12671,12887,NaN,13075,13221,13590,13743,13910,14043,14227,NaN,14417,14576,14799,14936,15045,15237,NaN,15427,15576,15791,NaN,15870,16058,NaN,16241,16401,16942,17129,17308
2468.6,2646.3,2804.7,2962.6,3117.7,3272.6,3431.4,3584.4,3723.2,NaN,3864.9,4013.4,4152.2,NaN,4321.3,4412.8,NaN,4645,4793.9,4934.7,NaN,5098.1,5187.9,NaN,5426.3,5577,5728.7,NaN,5878.1,5965.1,6143.2,6317.3,6468.4,NaN,6609.8,6762.9,6902.7,NaN,7077.6,7160.5,7341,7512.5,7670.8,7784.4,NaN,8021,8169.4,8309.8,NaN,8480.2,8572.5,8760.1,8936.6,9094,9221.4,NaN,9463.1,9610.8,9752.8,NaN,9922.1,10014,NaN,10258,10407,10553,NaN,10732,10816,11002,11182,11288,NaN,11533,11691,11824,NaN,11998,12083,12285,12632,12740,NaN,13015,13165,13303,13656,13822,13992,14112,NaN,14354,14483,14657,14873,15011,15109,NaN,15366,15520,15660,NaN,15839,15925,NaN,16176,16324,16482,17075,17209,17385
