n,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
1825.4,1963,2172.5,2342.5,2508.6,2688.5,2889.4,3028.5,3202.9,3365.6,3522.6,3694.5,3863.2,3967.1,NaN,4152.4,4305.7,4513.5,NaN,4593.6,4776,NaN,4964.6,5121.9,5330.5,NaN,5413.5,5597.8,NaN,5786,5936.3
1867,2026.6,2236.8,2408.2,2579.5,2762.9,2937.4,3110.3,3283.5,3446.8,3610,3780.5,3942.2,NaN,4091.3,4241.5,4389.8,NaN,4568,4657.7,NaN,4904.2,5055.8,5206.8,NaN,5379.2,5468.2,NaN,5724.3,5867.6,6019.9
