n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e
1487.6,1633.1,1984.2,2143.4,2321.2,2473.8,2635.4,3035.1,3170.5,3333.2,3499.9,3708.6,3851.8,4016.3,4176.3,4338,4499.3,4660.9,4821.8,4925.2,NaN,5108.2,5264.5,5477.2,NaN,5557.7,5741.6,NaN,5934.5,6083.5,6295.8,NaN,6375.4,6551.3,NaN,6743.7,6892.6,7103.3,NaN,7184.2,7361.8,7520.2,7681.9,7793.9,NaN,7982.5,8135,8345.2,NaN,8425,8615.3,NaN,8804.8,8966.4,9185.2,9307.6,9411.4,9602,NaN,9782.7,9942.7,10273,NaN,10349,10532,10699,10867,10989,11185,NaN,11382,11532
1527.3,1691.4,2035.2,2212.1,2379.4,2584.8,2708,3083.2,3235.3,3409.7,3570.2,3759.3,3935.7,4097.4,4261.7,4420.8,4584.9,4746.2,4899.5,NaN,5048.1,5199.6,5349.1,NaN,5521.8,5612.8,NaN,5870.2,6026.6,6170.5,NaN,6340.4,6431.3,NaN,6682.3,6838.8,6979.5,NaN,7150.7,7241.1,7429.6,7606.3,7763.1,NaN,7913.3,8063.9,8221,NaN,8394.8,8483.2,NaN,8745.1,8906.1,9050.7,9263.8,9379.7,9471.9,NaN,9731.2,9889.9,10026,NaN,10324,10414,10597,10782,10946,11070,NaN,11318,11469,11620
