n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1976.7,2138.1,2344.3,2519,2686.1,2831.2,2993,3149.9,3256.9,NaN,3435,3581.7,3785.2,NaN,3863.1,4041.4,NaN,4226.6,4374.7,4581.1,NaN,4659.8,4844.1,NaN,5031.4,5176.4,5379.8,NaN,5456.1,5639.5,5813.9,5922.5,NaN,6105.4,6254.1,6461.6,6577.5,6680.4,6869.4,NaN,7055.4,7207.9,7416.4,NaN,7493.7,7682.2,7838.6,7969.4,8156.9,NaN,8346.3,8495.3,8701.4,NaN,8778.8,8961.6,NaN,9148.4,9295.2,9765.1,9915.1,10071,10216,10351,10535,NaN,10725,10876,11086,NaN,11165,11355,NaN,11547,11726
2028.2,2210.3,2418.2,2595.4,2739.7,2914.3,3078.4,3229.4,NaN,3374.9,3530.5,3666.9,NaN,3836,3927.1,NaN,4165.5,4316.1,4461.1,NaN,4630.4,4718.3,NaN,4974.3,5126,5259.7,NaN,5429.8,5513.4,5709.8,5895.7,NaN,6042.2,6191.9,6336.2,6537.8,6649.6,6739.4,NaN,6995.2,7150.1,7293.1,NaN,7465.2,7547,7753.3,7917,8039.7,NaN,8286.1,8429.5,8577.8,NaN,8751,8837.3,NaN,9087.6,9245.3,9382.6,9831.4,9996.1,10154,10301,10420,NaN,10660,10815,10961,NaN,11132,11228,NaN,11482,11653,11807
